,Noun,Year,Artist,Popularity
372,Vater,2023,Lune,58
373,Menschen,2022,SOPHIA,1
374,Menschen,2023,AnnenMayKantereit,28
375,Mensch,2023,AnnenMayKantereit,28
376,Mensch,2023,AnnenMayKantereit,28
377,Besetzung,2022,Ben Zucker,51
378,Besetzung,2022,Ben Zucker,51
379,Kamera,2022,Ben Zucker,51
380,Mensch,2022,Ben Zucker,51
381,Reisende,2022,Ben Zucker,51
382,Reisende,2022,Ben Zucker,51
383,Reisende,2022,Ben Zucker,51
384,Menschen,2022,Ben Zucker,51
385,Menschen,2022,Ben Zucker,51
386,Menschen,2022,Ben Zucker,51
387,Menschen,2022,Ben Zucker,51
388,Figur,2022,Ben Zucker,51
389,Figur,2022,Ben Zucker,51
390,Vater,2022,Ben Zucker,51
391,Kreis,2022,Ben Zucker,51
392,Team,2022,Ben Zucker,51
393,Stelle,2022,Ben Zucker,51
394,Mitglieder,2022,Ben Zucker,51
395,Mitglieder,2022,Ben Zucker,51
396,Mitglieder,2022,Ben Zucker,51
397,Mitglieder,2022,Ben Zucker,51
398,Mitglieder,2022,Ben Zucker,51
399,Mitglieder,2022,Ben Zucker,51
400,Menschen,2022,Ben Zucker,51
401,Menschen,2022,Ben Zucker,51
402,Vater,2022,Ben Zucker,51
403,Mensch,2022,Ben Zucker,51
404,Zimmer,2022,Ben Zucker,51
405,Zimmer,2022,Ben Zucker,51
406,Zimmer,2022,Ben Zucker,51
407,Zimmer,2022,Ben Zucker,51
408,Zimmer,2022,Ben Zucker,51
409,Zimmer,2022,Ben Zucker,51
410,Kurs,2022,Ben Zucker,51
411,Stelle,2022,Ben Zucker,51
412,Hauptfigur,2022,Ben Zucker,51
413,Handel,2022,Ben Zucker,51
414,Gesellschaft,2022,Ben Zucker,51
415,Gesellschaft,2022,Ben Zucker,51
416,Menschen,2022,Ben Zucker,51
417,Pause,2022,Miksu / Macloud,11
418,Mensch,2021,Kool Savas,61
419,Beziehung,2021,Kool Savas,61
420,Vater,2021,Kool Savas,61
421,Kind,2021,Kool Savas,61
422,Kind,2021,Kool Savas,61
423,Kind,2021,Kool Savas,61
424,Act,2021,Kool Savas,61
425,Begleitung,2022,Eddin,63
426,Begleitung,2022,Eddin,63
427,Begleitung,2022,Eddin,63
428,Begleitung,2022,Eddin,63
429,Begleitung,2022,Eddin,63
430,Wendepunkt,2021,Eddin,58
431,Kreis,2022,Rubi,2
432,Kreis,2022,Rubi,2
433,Kreis,2022,Rubi,2
434,Kreis,2022,Rubi,2
435,Kreis,2022,Rubi,2
436,Pause,2022,AnnenMayKantereit,23
437,Pause,2022,AnnenMayKantereit,23
438,Vater,2021,MC Bilal,50
439,Menschen,2022,LEA,67
440,Menschen,2022,LEA,67
441,Menschen,2022,LEA,67
442,Polizei,2023,Alexander Eder,55
443,Kinder,2023,Alexander Eder,55
444,Genie,2023,Alexander Eder,52
445,Genie,2023,Alexander Eder,52
446,Eltern,2023,Alexander Eder,48
447,Kind,2023,Alexander Eder,49
448,Kind,2023,Alexander Eder,49
